Area code,Area name,Year,GP_dist,activity,air_poll,alc,avoid_mort,can_screen,cancer,crime_pers,cvd,dementia,depres,diab,disability,drug,eating,env_noise,ey_dev,frailty,hle,house_afford,house_overcrowd,hyp_ten,in_eet,incare_child,inf_mort,kidney,ks4_dev,low_bw,low_pay,musculo,ow_obs,ow_obs_child,pharm_dist,pov_child,pupil_abs,resp,road_safety,road_traff,rough_sleep,self_harm,semh_child,smoke,sport_dist,srwb_anx,srwb_hap,srwb_sat,srwb_worth,sti_screen,suicide,teen_preg,training,trans_noise,unempl,vac,wp_safety
E06000001,Hartlepool,2015,106.6155590010441,94.75994712171244,105.59346006493192,105.02156446767427,104.98522294853592,94.62537090211354,105.26799719461275,102.91205244811299,104.77028911675684,104.82070405064731,105.25467679569921,105.08732935532723,104.30116272938085,104.66004964740308,94.7574282249361,104.60215751704285,94.89310723054038,104.75369810956298,94.63079995983354,105.74313769421103,95.40791708527975,104.47503385539507,104.76274374201367,104.86518125832261,104.8679556792739,105.27649472597273,94.72465532853688,105.28151112021357,104.53734073046377,94.72865557120093,104.57636469581449,103.99864816954354,101.61781163482019,104.84350916103132,104.9657086129131,104.39268940901864,105.15375955036833,104.72295042335328,105.2743652339158,105.03648528598156,105.17364081111745,104.3733392143813,95.65781342616552,105.07391743821911,94.68485904985984,94.77542581162301,94.76763839963678,95.11242503735308,105.31063924419485,104.4086352055806,94.75394069406573,106.03426707739371,104.00319467269142,94.97645700120869,104.96018276965626
E06000001,Hartlepool,2016,107.00558523552814,94.75994712171244,105.57120011443709,104.98522029145616,104.9720056346672,94.6622470324275,105.15200632403334,102.51901562042481,104.75742621134626,104.88705875704929,105.12947488733076,105.00426824090547,104.41703180143685,104.62161454486139,94.7574282249361,104.70601922999325,94.89328111772835,104.84581700894182,94.67241176382421,105.85734094800767,95.40791708527975,104.44868629583792,104.76274374201367,104.7480134633648,104.77353668277733,104.8469934905876,94.72158832120984,104.8947136002028,104.47564501341229,94.80816786505409,104.57636469581449,104.21223970710084,101.61781163482019,104.80808347796946,104.88759540148263,104.23317164543057,105.1970692803743,104.70667096666305,105.2784974973927,104.9699209604754,105.16725024965854,104.73457441046894,95.65781342616552,105.11793160040466,94.80979852021648,94.77542581162301,94.74766956556805,95.07498545346553,105.11549501453618,104.4442627830468,94.61306552649602,106.03426707739371,104.10006428839415,94.8767057976218,104.91743144379708
E06000001,Hartlepool,2017,107.10592672538327,94.71027002566913,105.56407770656298,104.99468813992426,104.96862685878176,94.66976130420996,105.03601545345393,101.64887075085696,104.77886438703057,104.90917699251662,104.99298493214576,104.98135483003051,104.19494941332951,104.58523942722333,94.6164578388054,104.81959615374751,94.99279938921589,104.62777024863885,94.6638544267168,105.77564505955269,95.40791708527975,104.44868629583792,104.85305551209744,104.6547338224905,105.10882132397329,104.9983415449614,94.8412016069646,104.95531893506825,104.42166126099225,94.7026117723889,104.18020214808254,104.3332526622272,101.77478711207665,104.81858786304606,104.7994521093961,104.09176234828747,105.24498389877955,104.69375552190803,105.2805637732749,105.03292442921783,105.09349913092676,104.7797288099799,95.65781342616552,105.12430900613685,94.8312199230617,94.72784168293997,94.8216509776503,95.00671922628307,105.02631815721145,104.50503484416058,94.18104834594887,106.03426707739371,103.95093314956199,94.69470106117949,104.96018276965626
E06000001,Hartlepool,2018,107.00558523552814,94.66076961307157,105.52895084484054,104.96513705347705,104.99224680647517,94.63786682297365,104.83814867423021,101.3023659174072,104.67167350860899,104.86494052158197,104.78420569965343,104.92120712648372,104.56186814150685,104.56555875557476,94.64918048135857,104.94489513859213,94.97591179757957,105.00460155376712,94.67787187847031,105.72285221893011,95.40791708527975,104.41629345673687,105.04652874884844,104.62062996400923,105.08628816236579,104.92471276175252,94.89640773885141,104.65735923534389,104.29826982688931,93.99018037912428,104.24703380503307,103.7521920762124,101.61781163482019,104.77717258465061,104.36043094778711,103.9349905643196,105.34628234754491,104.64972574605287,105.60068675711432,104.82775580184455,105.10517551895651,104.84746040924632,95.65781342616552,105.15654285018712,94.77447819182453,94.77542581162301,94.84219329927654,94.99214922570309,105.00550492677294,104.33452623375238,94.3125318356806,106.03426707739371,104.10006428839415,94.82152465570171,105.15069744376028
E06000002,Middlesbrough,2015,108.06608167361897,94.76398353625676,105.53527756137176,104.99415945528781,104.95018383614348,94.52281266764088,105.59550082918992,101.89529501227395,105.04684158308453,105.17459581812457,105.28893868002355,105.13315617707715,105.1508692577915,104.62692157159587,94.36339457111278,104.65073402281521,94.14281254528612,104.64449225748417,94.72217821972667,105.59831799323476,94.5175068251054,105.39561836468441,104.59250141226593,104.7164840029652,104.7145197482361,105.40739034056628,94.48849576435441,104.81546223817978,105.11573807782132,95.33518876811264,104.5540545286173,104.3061873274288,106.00941801966432,104.67073355876443,104.00155070796622,104.7275604699289,105.1069116826998,102.94297736874728,105.4800408299117,104.54583145746379,104.91128784254308,104.59911121193608,95.20272805532285,105.09893515417117,94.85281407822315,94.8803972750258,94.87678149966267,95.0874948474111,104.67888135031141,104.48040454671239,94.96055760650133,106.17890862915249,103.84053753744224,94.974739884146,105.16189127878249
E06000002,Middlesbrough,2016,109.81277738562807,94.76398353625676,105.4613170806954,105.00142448920981,104.93259429948728,94.53892432828034,105.52727090531968,101.61540656223318,105.03612249524237,105.19671405359189,105.1735770260587,105.06441594445225,105.0639674537495,104.60570753169769,94.36339457111278,104.65606749063306,94.31928682630509,104.65183511521562,94.69385055135983,105.57726897649474,94.5175068251054,105.41175208283767,104.59250141226593,104.69334101355302,104.54982439227777,105.45238570808282,94.71545430655574,104.65142498034173,105.10031414855845,95.0894979859813,104.5540545286173,103.77566676394746,106.00941801966432,104.57907403986803,104.30036418358618,104.75272714239344,105.160586762552,102.96263934426301,106.49926117839169,104.57203078573627,104.99095568386514,105.0167894074124,95.20272805532285,105.07391743821911,94.87458167948525,94.83089721109158,94.74766956556805,94.87161936327607,104.64337482783056,104.3874965293546,94.75394069406573,106.17890862915249,104.23632669703491,94.91523919248931,105.18470863095608
E06000002,Middlesbrough,2017,109.67550886385499,94.66622557504017,105.44738277864195,105.00836357362118,104.93702355861183,94.50237397418879,105.43174901190133,100.9057895672712,105.01468431955804,105.19671405359189,105.07686219742344,104.96416977187428,104.49427784947417,104.52386411771978,94.82792610587748,104.66142447362084,94.5042814218184,104.90268124641634,94.6822959913252,105.62585107683171,94.5175068251054,105.37242317192803,104.85305551209744,104.62628957128221,104.68767779037346,105.50556205151145,94.82279956300233,104.99497956199023,104.89980306814117,94.65119103354415,104.78909282652133,104.18999901981584,105.79467343346442,104.5933799945062,104.22770951945151,104.70732329239182,105.2301668691141,102.89558340176028,105.28931234775133,104.57772321034548,104.9598494480722,104.84746040924632,95.20272805532285,105.00090451455559,94.77447819182453,94.82389933761739,94.84219329927654,94.76183572465399,104.7855975260166,104.14267994425393,94.29374848000464,106.17890862915249,104.26866079901227,94.83627376197941,105.29815147627384
E06000002,Middlesbrough,2018,109.67550886385499,94.62991848345126,105.39127683541567,104.98149881979998,104.92605629407676,94.47629361029537,105.35669609564407,99.95767621295205,104.9975337790106,105.19671405359189,104.9838857906106,104.85819524657758,104.61980267753484,104.49784320307458,94.73918099687035,104.66680518005317,94.55282085740416,104.50493900034758,94.69098557552758,105.62585107683171,94.5175068251054,105.40254319348384,104.64784616119326,104.62504895602639,104.84529606065921,105.55464790698404,94.86267065825392,104.8680112020675,104.86895520961544,93.92940982796904,104.83259340580823,103.99023234036636,105.79467343346442,104.51808825007964,104.23543021471318,104.67168613040909,105.22634432909408,102.8173439725542,104.61965453508971,104.36761274374328,104.9433429127738,104.98292360777918,95.20272805532285,105.15004928016145,94.80269632209166,94.8099585237499,94.89774600260539,94.8113207452668,104.77017323200455,104.28917893308638,94.20922337946281,106.17890862915249,104.35322010669134,94.68184071976434,105.33044672008093
E06000003,Redcar and Cleveland,2015,104.66314340315981,94.84515424357663,105.60622994062992,105.08424712161369,105.01644860275701,94.89214906142935,104.9200245828745,103.17855302257492,104.62879715724036,104.86494052158197,104.95584246982877,104.93266383192122,104.88050808966084,104.89372669130017,94.83265155599346,105.02051168769191,94.69093558124975,104.98646708862157,94.74980528487025,105.46715370043887,95.68539577791054,104.52441920558029,104.30879860938526,104.95948145662989,105.36177944212646,105.44829522012677,94.77066043844256,105.06752381154607,104.42937322562368,95.0894979859813,104.43383581035383,104.33339414106092,104.19022804366638,104.9220514973917,104.7736307313388,104.40351179928649,105.16060554718922,105.285371023876,106.0117415886054,105.05938158413753,104.81321095074279,104.99421220765693,95.14331707630986,105.08013902568986,94.82406029500578,94.82389933761739,94.78776283422569,95.63994760898743,105.06965578689699,104.48769658959533,95.23291626380279,105.92607838835998,104.1588606273789,95.0697710269586,104.77883055758105
E06000003,Redcar and Cleveland,2016,108.64991911176591,94.84515424357663,105.52774760427324,105.046993321928,105.00925866252746,94.92036999488681,104.85179465900426,103.30460756395664,104.63522860994566,104.79858581517998,104.82955421711696,104.8266893066245,104.71636023758151,104.80026922262881,94.83265155599346,104.97531593411846,94.87083189931853,105.3727141949202,94.73398432747909,105.47554437223093,95.68539577791054,104.54172998030853,104.30879860938526,104.92333450422426,105.21246676616009,105.46056668399491,94.89947474617846,105.07570616487965,104.13631856962918,94.97378987567421,104.43383581035383,104.30198221687321,104.19022804366638,104.83632874964495,104.98508645581322,104.17704059142946,105.24124302075494,105.26583434201008,107.22555102478557,104.84002030812155,104.88357804641501,105.1070982064343,95.14331707630986,105.18937035261237,94.78150417644794,94.81691978317323,94.78776283422569,95.35490232786914,104.99192637077914,104.56560977517651,94.7727240497417,105.92607838835998,104.33586015860953,95.12021434550911,104.8713886763468
